100th repetition:

Population size: 716
Timestamp: 89575
Number of classifiers in population covered :0
Number of classifiers in population ga-ed :716
Covers occured: 25
Number of subsumptions: 1270

##1#0##=>##1#### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 32 cov: 25% of dataset tp: 204.8 msa: 224 ns: 58.2109 origin: ga  created: 88669  last in correctset: 89466  subsumptions: 0 
###1###=>###1### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 30 cov: 48.3871% of dataset tp: 192 msa: 210 ns: 45.3109 origin: ga  created: 89138  last in correctset: 89551  subsumptions: 0 
#1##01#=>#1##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 42 cov: 12.5% of dataset tp: 268.8 msa: 294 ns: 73.4857 origin: ga  created: 87309  last in correctset: 89563  subsumptions: 0 
00#0###=>###0### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 42 cov: 12.5% of dataset tp: 268.8 msa: 294 ns: 56.9596 origin: ga  created: 87316  last in correctset: 89271  subsumptions: 0 
#0####0=>#0##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 22 cov: 26.8293% of dataset tp: 140.8 msa: 154 ns: 85.0709 origin: ga  created: 88996  last in correctset: 89444  subsumptions: 0 
0#100##=>###0### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 22 cov: 6.25% of dataset tp: 140.8 msa: 154 ns: 47.8806 origin: ga  created: 87332  last in correctset: 88760  subsumptions: 0 
0##1##1=>0###### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 19 cov: 12.5% of dataset tp: 121.6 msa: 133 ns: 97.7977 origin: ga  created: 88330  last in correctset: 89422  subsumptions: 0 
##11#1#=>##1#### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 17 cov: 12.5% of dataset tp: 108.8 msa: 119 ns: 58.0073 origin: ga  created: 88605  last in correctset: 89466  subsumptions: 0 
###01##=>###0### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 15 cov: 21.7391% of dataset tp: 96 msa: 105 ns: 44.853 origin: ga  created: 89088  last in correctset: 89264  subsumptions: 0 
#1###0#=>#1##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 45 cov: 25% of dataset tp: 288 msa: 315 ns: 71.3225 origin: ga  created: 88296  last in correctset: 89521  subsumptions: 0 
1###1##=>1###### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 45 cov: 25% of dataset tp: 288 msa: 315 ns: 79.1166 origin: ga  created: 88344  last in correctset: 89541  subsumptions: 0 
#010###=>#0##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 14 cov: 13.5922% of dataset tp: 89.6 msa: 98 ns: 86.3405 origin: ga  created: 88849  last in correctset: 89444  subsumptions: 0 
0###0##=>0###### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 11 cov: 22.449% of dataset tp: 70.4 msa: 77 ns: 50.7657 origin: ga  created: 89226  last in correctset: 89450  subsumptions: 0 
#1###00=>#1##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 11 cov: 13.75% of dataset tp: 70.4 msa: 77 ns: 69.9854 origin: ga  created: 89010  last in correctset: 89521  subsumptions: 0 
0100###=>#1##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 11 cov: 6.25% of dataset tp: 70.4 msa: 77 ns: 74.6272 origin: ga  created: 88184  last in correctset: 89535  subsumptions: 0 
0#0##0#=>##0#### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 10 cov: 12.1951% of dataset tp: 64 msa: 70 ns: 61.9258 origin: ga  created: 88997  last in correctset: 89060  subsumptions: 0 
#1###10=>#1##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 70 cov: 12.5% of dataset tp: 448 msa: 490 ns: 75.8992 origin: ga  created: 85671  last in correctset: 89563  subsumptions: 0 
#0##0##=>#0##### total macro fit: 0.4081 fit: 0.4081 num: 1 exp: 78 cov: 25% of dataset tp: 499.2 msa: 546 ns: 88.3205 origin: ga  created: 87393  last in correctset: 89458  subsumptions: 0 
